doi,field,crossref,openalex,s2,label
10.18653/v1/N19-1178,journal,Proceedings of the 2019 Conference of the North,,North American Chapter of the Association for Computational Linguistics,substantive
10.18653/v1/N19-1158,title,Analyzing,Analyzing,Analyzing Bayesian Crosslingual Transfer in Topic Models,substantive
10.18653/v1/N19-1158,journal,Proceedings of the 2019 Conference of the North,,North American Chapter of the Association for Computational Linguistics,substantive
10.18653/v1/2020.emnlp-main.330,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/2020.emnlp-main.330,authors,Jesús Calvillo; Le Fang; Jeremy Cole; David Reitter,Jesús Calvillo; Le Fang; Jeremy Cole; David Reitter,Jesús Calvillo; Le Fang; Jeremy R. Cole; D. Reitter,variant
10.18653/v1/2020.emnlp-main.314,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,ArXiv,substantive
10.1016/j.ejor.2021.03.011,journal,European Journal of Operational Research,European Journal of Operational Research,Eur. J. Oper. Res.,substantive
10.1016/j.ejor.2021.03.011,authors,Ana Patrícia Torraca; Bruno Fanzeres,Ana Patrícia Barros Torraca; Bruno Fanzeres,Ana Patrícia Torraca; Bruno Fanzeres,variant
10.1016/j.eswa.2019.112956,title,Learning parameters of Bayesian networks from datasets with systematically missing data: A meta–analytic approach,Learning parameters of Bayesian networks from datasets with systematically missing data: A meta–analytic approach,Learning parameters of Bayesian networks from datasets with systematically missing data: A meta-analytic approach,variant
10.1016/j.eswa.2019.112956,year,2020,2019,2020,variant
10.1016/j.eswa.2019.112956,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2019.112956,authors,Jelena Kovačić,Jelena Kovačić,J. Kovačić,variant
10.1016/j.asoc.2020.106384,journal,Applied Soft Computing,Applied Soft Computing,Appl. Soft Comput.,substantive
10.1016/j.asoc.2020.106384,pages,106384,106384-106384,106384,variant
10.1016/j.asoc.2020.106384,authors,Ahmet Murat Ozbayoglu; Mehmet Ugur Gudelek; Omer Berat Sezer,Ahmet Murat Özbayoğlu; Mehmet Ugur Gudelek; Ömer Berat Sezer,A. Ozbayoglu; M. U. Gudelek; O. Sezer,variant
10.1016/j.ejor.2018.10.024,year,2019,2018,2019,variant
10.1016/j.ejor.2018.10.024,journal,European Journal of Operational Research,European Journal of Operational Research,Eur. J. Oper. Res.,substantive
10.1016/j.eswa.2018.09.023,year,2019,2018,2019,variant
10.1016/j.eswa.2018.09.023,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2018.09.023,authors,Dariusz Kacprzak,Dariusz Kacprzak,D. Kacprzak,variant
10.1016/j.eswa.2018.11.029,year,2019,2018,2019,variant
10.1016/j.eswa.2018.11.029,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2018.11.029,authors,Fares Alharbi; Yu-Chu Tian; Maolin Tang; Wei-Zhe Zhang; Chen Peng; Minrui Fei,Fares Alharbi; Yu‐Chu Tian; Maolin Tang; Weizhe Zhang; Chen Peng; Minrui Fei,Fares Alharbi; Yu-Chu Tian; Maolin Tang; Weizhe Zhang; Chen Peng; M. Fei,variant
10.1007/s11156-024-01278-0,pages,925-954,925-954,925 - 954,variant
10.1016/j.asoc.2020.106852,year,2021,2020,2020,variant
10.1016/j.asoc.2020.106852,journal,Applied Soft Computing,Applied Soft Computing,Appl. Soft Comput.,substantive
10.1016/j.asoc.2020.106852,pages,106852,106852-106852,106852,variant
10.1016/j.asoc.2020.106852,authors,Feng Shen; Xingchao Zhao; Gang Kou; Fawaz E. Alsaadi,Feng Shen; Xingchao Zhao; Gang Kou; Fawaz E. Alsaadi,Feng Shen; Xingchao Zhao; Gang Kou; F. Alsaadi,variant
10.1186/s43093-020-00041-w,authors,Maisa Cardoso Aniceto; Flavio Barboza; Herbert Kimura,Maisa Cardoso Aniceto; Flávio Barboza; Herbert Kimura,M. Aniceto; Flavio Barboza; H. Kimura,variant
10.1007/s42786-020-00020-3,pages,111-138,111-138,111 - 138,variant
10.1007/s42786-020-00020-3,authors,Siddharth Bhatore; Lalit Mohan; Y. Raghu Reddy,Siddharth Bhatore; Lalit Mohan; Y. Raghu Reddy,Siddharth Bhatore; Lalit Mohan; Y. R. Reddy,variant
10.1016/j.asoc.2021.107388,journal,Applied Soft Computing,Applied Soft Computing,Appl. Soft Comput.,substantive
10.1016/j.asoc.2021.107388,pages,107388,107388-107388,107388,variant
10.1016/j.asoc.2021.107388,authors,Amalesh Kumar Manna; Md Akhtar; Ali Akbar Shaikh; Asoke Kumar Bhunia,Amalesh Kumar Manna; Md Akhtar; Ali Akbar Shaikh; Asoke Kumar Bhunia,A. K. Manna; M. Akhtar; A. Shaikh; A. Bhunia,variant
10.1016/j.asoc.2019.105615,journal,Applied Soft Computing,Applied Soft Computing,Appl. Soft Comput.,substantive
10.1016/j.asoc.2019.105615,authors,Arash Gharehbaghi; Maria Lindén; Ankica Babic,Arash Gharehbaghi; María Lindén; Ankica Babić,Arash Gharehbaghi; M. Lindén; A. Babic,variant
10.1007/978-3-319-46723-8_49,journal,Lecture Notes in Computer Science,Lecture notes in computer science,International Conference on Medical Image Computing and Computer-Assisted Intervention,substantive
10.1007/978-3-319-46723-8_49,authors,Özgün Çiçek; Ahmed Abdulkadir; Soeren S. Lienkamp; Thomas Brox; Olaf Ronneberger,Özgün Çiçek; Ahmed Abdulkadir; Soeren S. Lienkamp; Thomas Brox; Olaf Ronneberger,Özgün Çiçek; A. Abdulkadir; S. Lienkamp; T. Brox; O. Ronneberger,variant
10.1016/j.media.2019.02.012,title,Predicting breast tumor proliferation from whole-slide images: The TUPAC16 challenge,Predicting breast tumor proliferation from whole-slide images: The TUPAC16 challenge,Predicting breast tumor proliferation from whole‐slide images: The TUPAC16 challenge,variant
10.1016/j.media.2019.02.012,year,2019,2019,2018,variant
10.1016/j.media.2019.02.012,pages,111-121,111-121,111–121,variant
10.1016/j.media.2019.02.012,authors,Mitko Veta; Yujing J. Heng; Nikolas Stathonikos; Babak Ehteshami Bejnordi; Francisco Beca; Thomas Wollmann; Karl Rohr; Manan A. Shah; Dayong Wang; Mikael Rousson; Martin Hedlund; David Tellez; Francesco Ciompi; Erwan Zerhouni; David Lanyi; Matheus Viana; Vassili Kovalev; Vitali Liauchuk; Hady Ahmady Phoulady; Talha Qaiser; Simon Graham; Nasir Rajpoot; Erik Sjöblom; Jesper Molin; Kyunghyun Paeng; Sangheum Hwang; Sunggyun Park; Zhipeng Jia; Eric I-Chao Chang; Yan Xu; Andrew H. Beck; Paul J. van Diest; Josien P.W. Pluim,Mitko Veta; Yujing J. Heng; Nikolas Stathonikos; Babak Ehteshami Bejnordi; Francisco Beça; Thomas Wollmann; Karl Rohr; Manan Shah; D. Wang; Mikaël Rousson; Martin Hedlund; David Tellez; Francesco Ciompi; Erwan Zerhouni; Dávid Lányi; Matheus P. Viana; Vassili Kovalev; Vitali Liauchuk; Hady Ahmady Phoulady; Talha Qaiser; Simon Graham; Nasir Rajpoot; Erik Sjöblom; Jesper Molin; Kyunghyun Paeng; Sangheum Hwang; Sunggyun Park; Zhipeng Jia; Eric Chang; Yan Xu; Andrew H. Beck; P. J. van Diest; Josien P. W. Pluim,M. Veta; Y. Heng; N. Stathonikos; B. Bejnordi; F. Beca; Thomas Wollmann; K. Rohr; Manan A. Shah; Dayong Wang; Mikaël Rousson; Martin Hedlund; David Tellez; F. Ciompi; Erwan Zerhouni; D. Lanyi; Matheus Palhares Viana; V. Kovalev; V. Liauchuk; H. A. Phoulady; Talha Qaiser; S. Graham; N. Rajpoot; E. Sjöblom; J. Molin; K. Paeng; Sangheum Hwang; Sunggyun Park; Zhipeng Jia; E. Chang; Yan Xu; Andrew H. Beck; P. Diest; J. Pluim,variant
10.34133/2021/8786793,authors,Xiaoqing Liu; Kunlun Gao; Bo Liu; Chengwei Pan; Kongming Liang; Lifeng Yan; Jiechao Ma; Fujin He; Shu Zhang; Siyuan Pan; Yizhou Yu,Xiaoqing Liu; Kunlun Gao; Bo Liu; Chengwei Pan; Kongming Liang; Lifeng Yan; Jiechao Ma; Fujin He; Shu Zhang; Siyuan Pan; Yizhou Yu,Xiaoqing Liu; Kunlun Gao; Bo Liu; C. Pan; Kongming Liang; Lifeng Yan; Jiechao Ma; Fujin He; Shu Zhang; Siyuan Pan; Yizhou Yu,variant
10.3390/app10113841,authors,Andrej Vidmar; Mitja Brilly; Klaudija Sapač; Andrej Kryžanowski,Andrej Vidmar; Mitja Brilly; Klaudija Sapač; Andrej Kryžanowski,A. Vidmar; M. Brilly; Klaudija Sapač; A. Kryžanowski,variant
10.3390/en12030571,authors,Jingrong Yu; Limin Deng; Dongran Song; Maolin Pei,Jingrong Yu; Limin Deng; Dongran Song; Maolin Pei,Jingrong Yu; Limin Deng; Dongran Song; Mao Pei,variant
10.1016/j.rser.2020.109883,pages,109883,109883-109883,109883 - 109883,variant
10.1016/j.rser.2020.109883,authors,Jiří Jaromír Klemeš; Yee Van Fan; Raymond R. Tan; Peng Jiang,Jiří Jaromír Klemeš; Yee Van Fan; Raymond R. Tan; Peng Jiang,J. Klemeš; Y. Fan; R. Tan; Peng Jiang,variant
10.1016/j.rser.2020.110035,journal,Renewable and Sustainable Energy Reviews,Renewable and Sustainable Energy Reviews,Renewable & Sustainable Energy Reviews,variant
10.1016/j.rser.2020.110035,pages,110035,110035-110035,110035,variant
10.1016/j.rser.2020.110035,authors,K.B. Aviso; C.L. Sy; R.R. Tan; A.T. Ubando,Kathleen B. Aviso; Charlle Sy; Raymond R. Tan; Aristotle T. Ubando,K. Aviso; C. Sy; R. Tan; A. Ubando,variant
10.3390/en13112751,authors,Julián Puszkiel; José M. Bellosta von Colbe; Julian Jepsen; Sergey V. Mitrokhin; Elshad Movlaev; Victor Verbetsky; Thomas Klassen,Julián Puszkiel; José M. Bellosta von Colbe; Julian Jepsen; С.В. Митрохин; E. A. Movlaev; V. N. Verbetsky; Thomas Klassen,J. Puszkiel; Josè Bellosta von Colbe; J. Jepsen; S. Mitrokhin; E. Movlaev; Victor Verbetsky; T. Klassen,variant
10.1016/j.rser.2020.110040,authors,Wan Zhao; Zhi Chen; Xiuru Yang; Xiaoxiao Qian; Chunxi Liu; Dantong Zhou; Tao Sun; Ming Zhang; Guoying Wei; Pavani Dulanja Dissanayake; Yong Sik Ok,Wan Zhao; Zhi Chen; Xiuru Yang; Xiaoxiao Qian; Chunxi Liu; Dantong Zhou; Tao Sun; Ming Zhang; Guoying Wei; Pavani Dulanja Dissanayake; Yong Sik Ok,W. Zhao; Zhi Chen; Xiuru Yang; Xiaoxiao Qian; Chunxi Liu; Dantong Zhou; Tao Sun; Ming Zhang; G. Wei; P. D. Dissanayake; Y. Ok,variant
10.3390/en13030741,authors,Bisi Olaniyan; Basudeb Saha,Bisi Olaniyan; Basudeb Saha,B. Olaniyan; B. Saha,variant
10.1016/j.rser.2020.110045,journal,Renewable and Sustainable Energy Reviews,Renewable and Sustainable Energy Reviews,Renewable & Sustainable Energy Reviews,variant
10.1016/j.rser.2020.110045,pages,110045,110045-110045,110045,variant
10.1016/j.rser.2020.110045,authors,Alonso Moreno Zuria; Juan Carlos Abrego-Martinez; Shuhui Sun; Mohamed Mohamedi,Alonso Moreno Zuria; Juan Carlos Abrego‐Martinez; Shuhui Sun; Mohamed Mohamedi,Alonso Moreno Zuria; J. C. Abrego-Martinez; Shuhui Sun; M. Mohamedi,variant
10.1016/j.bar.2022.101149,year,2023,2022,2022,variant
10.1016/j.bar.2022.101149,authors,Albert Tsang; Tracie Frost; Huijuan Cao,Albert Tsang; Tracie Frost; Huijuan Cao,Albert H. C. Tsang; Tracie S. Frost; Huijuan Cao,variant
10.1016/j.gfj.2017.03.001,year,2018,2017,2017,variant
10.1016/j.gfj.2017.03.001,authors,Ali Fatemi; Martin Glaum; Stefanie Kaiser,Ali M Fatemi; Martin Glaum; Stefanie Kaiser,Ali Fatemi; M. Glaum; Stefanie Kaiser,variant
10.2469/faj.v74.n3.2,title,Why and How Investors Use ESG Information: Evidence from a Global           Survey,Why and How Investors Use ESG Information: Evidence from a Global Survey,Why and How Investors Use ESG Information: Evidence from a Global Survey,variant
10.2469/faj.v74.n3.2,pages,87-103,87-103,103 - 87,substantive
10.2469/faj.v74.n3.2,authors,Amir Amel-Zadeh; George Serafeim,Amir Amel‐Zadeh; George Serafeim,A. Amel-Zadeh; G. Serafeim,variant
10.3905/jpm.2019.45.5.069,title,"Foundations of ESG Investing: <i>How ESG Affects Equity Valuation, Risk, and Performance</i>","Foundations of ESG Investing: <i>How ESG Affects Equity Valuation, Risk, and Performance</i>","Foundations of ESG Investing: How ESG Affects Equity Valuation, Risk, and Performance",variant
10.3905/jpm.2019.45.5.069,journal,The Journal of Portfolio Management,The Journal of Portfolio Management,Journal of Portfolio Management,variant
10.3905/jpm.2019.45.5.069,pages,69-83,69-83,69 - 83,variant
10.3905/jpm.2019.45.5.069,authors,Guido Giese; Linda-Eling Lee; Dimitris Melas; Zoltán Nagy; Laura Nishikawa,Guido Giese; Linda-Eling Lee; Dimitris Melas; Zoltán Nagy; Laura Nishikawa,G. Giese; Linda-Eling Lee; D. Melas; Z. Nagy; Laura Nishikawa,variant
10.1016/j.cpa.2019.102097,year,2021,2019,2019,substantive
10.1016/j.cpa.2019.102097,volume,79,79,,substantive
10.1016/j.cpa.2019.102097,pages,102097,102097-102097,102097,variant
10.1080/23311975.2025.2538711,journal,Cogent Business &amp; Management,Cogent Business & Management,Cogent Business & Management,variant
10.1080/23311975.2025.2538711,authors,Anisha Mishra; Mohammed H. Alsamhi; Mohammed Bajaher; Waleed M. Alahdal,Anjay Kumar Mishra; Mohammed H. Alsamhi; Mohammed Bajaher; Waleed M. Alahdal,Anisha Mishra; M. Alsamhi; M. Bajaher; Waleed M. Alahdal,variant
10.3390/su12229405,pages,9405,9405-9405,9405,variant
10.3390/su12229405,authors,Gonzalo Díaz-Meneses; Neringa Vilkaitė-Vaitonė; Miriam Estupiñan-Ojeda,Gonzalo Díaz Meneses; Neringa Vilkaité-Vaitoné; Miriam Estupiñán-Ojeda,Gonzalo Díaz-Meneses; Neringa Vilkaitė-Vaitonė; Miriam Estupinán-Ojeda,variant
10.3390/su13063033,authors,Kutay Cingiz; Hugo Gonzalez-Hermoso; Wim Heijman; Justus H. H. Wesseler,Kutay Cingiz; Hugo Gonzalez-Hermoso; Wim Heijman; Justus Wesseler,Kutay Cingiz; Hugo Gonzalez-Hermoso; W. Heijman; J. Wesseler,variant
10.18653/v1/D19-1315,journal,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),,Conference on Empirical Methods in Natural Language Processing,substantive
10.1162/tacl_a_00331,year,2020,2020,2019,variant
10.18653/v1/D19-1284,journal,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),,ArXiv,substantive
10.18653/v1/N19-1141,title,Fake News Detection using Deep,Fake News Detection using Deep,Fake News Detection using Deep Markov Random Fields,substantive
10.18653/v1/N19-1141,journal,Proceedings of the 2019 Conference of the North,,North American Chapter of the Association for Computational Linguistics,substantive
10.18653/v1/N19-1141,authors,Duc Minh Nguyen; Tien Huu Do; Robert Calderbank; Nikos Deligiannis,Duc Minh Nguyen; Tien Huu; Robert Calderbank; Nikos Deligiannis,Duc Minh Nguyen; T. Do; A. Calderbank; N. Deligiannis,variant
10.1162/tacl_a_00330,authors,Marina Fomicheva; Shuo Sun; Lisa Yankovskaya; Frédéric Blain; Francisco Guzmán; Mark Fishel; Nikolaos Aletras; Vishrav Chaudhary; Lucia Specia,Marina Fomicheva; Shuo Sun; Lisa Yankovskaya; Frédéric Blain; Francisco Guzm﻿án; Mark Fishel; Νικόλαος Αλέτρας; Vishrav Chaudhary; Lucia Specia,M. Fomicheva; Shuo Sun; L. Yankovskaya; F. Blain; Francisco (Paco) Guzmán; Mark Fishel; Nikolaos Aletras; Vishrav Chaudhary; Lucia Specia,variant
10.1162/tacl_a_00333,authors,Jacob Andreas; John Bufe; David Burkett; Charles Chen; Josh Clausman; Jean Crawford; Kate Crim; Jordan DeLoach; Leah Dorner; Jason Eisner; Hao Fang; Alan Guo; David Hall; Kristin Hayes; Kellie Hill; Diana Ho; Wendy Iwaszuk; Smriti Jha; Dan Klein; Jayant Krishnamurthy; Theo Lanman; Percy Liang; Christopher H. Lin; Ilya Lintsbakh; Andy McGovern; Aleksandr Nisnevich; Adam Pauls; Dmitrij Petters; Brent Read; Dan Roth; Subhro Roy; Jesse Rusak; Beth Short; Div Slomin; Ben Snyder; Stephon Striplin; Yu Su; Zachary Tellman; Sam Thomson; Andrei Vorobev; Izabela Witoszko; Jason Wolfe; Abby Wray; Yuchen Zhang; Alexander Zotov,Jacob Andreas; John Bufe; David Burkett; Charles Chen; Josh Clausman; Jean Crawford; Kate Crim; Jordan DeLoach; Leah Dorner; Jason Eisner; Hao Fang; Alan Guo; David Hall; Kristin Hayes; Kellie Hill; Diana Ho; Wendy Iwaszuk; Smriti Jha; Dan Klein; Jayant Krishnamurthy; Theo Lanman; Percy Liang; Christopher H. Lin; Ilya Lintsbakh; Andy McGovern; Aleksandr Nisnevich; Adam Pauls; Dmitrij Petters; Brent Read; Dan Roth; Subhro Roy; Jesse Rusak; Beth Short; Div Slomin; Ben Snyder; Stephon Striplin; Yu Su; Zachary Tellman; Sam Thomson; Andrei Vorobev; Izabela Witoszko; Jason Wolfe; Abby Wray; Yuchen Zhang; Alexander Zotov,Jacob Andreas; J. Bufe; David Burkett; Charles C. Chen; Joshua Clausman; Jean Crawford; Kate Crim; Jordan DeLoach; Leah Dorner; Jason Eisner; Hao Fang; Alan Guo; David Leo Wright Hall; K. Hayes; Kellie Hill; D. Ho; Wendy Iwaszuk; Smriti Jha; D. Klein; Jayant Krishnamurthy; Theo Lanman; P. Liang; C. H. Lin; Ilya Lintsbakh; Andy McGovern; Aleksandr Nisnevich; Adam Pauls; Dmitrij Petters; Brent Read; Dan Roth; Subhro Roy; Jesse Rusak; B. Short; Div Slomin; Ben Snyder; Stephon Striplin; Yu Su; Zachary Tellman; Sam Thomson; A. Vorobev; Izabela Witoszko; Jason Wolfe; A. Wray; Yuchen Zhang; Alexander Zotov,variant
10.1111/coin.12313,year,2021,2020,2020,variant
10.1111/coin.12313,pages,1460-1498,1460-1498,1460 - 1498,variant
10.1111/coin.12313,authors,Leila Yousefi; Stephen Swift; Mahir Arzoky; Lucia Saachi; Luca Chiovato; Allan Tucker,Leila Yousefi; Stephen Swift; Mahir Arzoky; Lucia Saachi; Luca Chiovato; Allan Tucker,Leila Yousefi; S. Swift; Mahir Arzoky; Lucia Saachi; L. Chiovato; A. Tucker,variant
10.1016/j.eswa.2020.113245,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2020.113245,pages,113245,113245-113245,113245,variant
10.1016/j.jclepro.2020.122845,pages,122845,122845-122845,122845,variant
10.1016/j.jclepro.2020.122845,authors,Yunsong Yu; Chen Zhang; Wancheng Ding; Zaoxiao Zhang; Geoff G.X. Wang,Yunsong Yu; Chen Zhang; Wancheng Ding; Zaoxiao Zhang; Geoff Wang,Yunsong Yu; Chen Zhang; Ding Wancheng; Zao-xiao Zhang; Geoff Wang,variant
10.1016/j.scs.2020.102563,year,2021,2020,2021,variant
10.1016/j.scs.2020.102563,pages,102563,102563-102563,102563,variant
10.1016/j.scs.2020.102563,authors,Wei Liu; Jinyan Zhan; Fen Zhao; Xiaoqing Wei; Fan Zhang,Wei Liu; Jinyan Zhan; Fen Zhao; Xiaoqing Wei; Fan Zhang,Wei Liu; J. Zhan; Fen Zhao; Xiaoqing Wei; Fan Zhang,variant
10.1016/j.scs.2021.103048,pages,103048,103048-103048,103048 - 103048,variant
10.1016/j.scs.2021.103048,authors,Nidal Nasser; Lutful Karim; Ahmed El Ouadrhiri; Asmaa Ali; Nargis Khan,Nidal Nasser; Lutful Karim; Ahmed El Ouadrhiri; Asmaa Ali; Najeeb Alam Khan,N. Nasser; Lutful Karim; Ahmed El Ouadrhiri; Asmaa Ali; Nargis Khan,variant
10.1016/j.jclepro.2021.126824,volume,300,300,,substantive
10.1016/j.jclepro.2021.126824,pages,126824,126824-126824,126824,variant
10.1016/j.jclepro.2021.126824,authors,Jingdong Zhang; Luping Jiang; Zehua Liu; Yanan Li; Kangli Liu; Ruying Fang; Honghu Li; Zhiguang Qu; Chaoyang Liu; Fei Li,Jingdong Zhang; Luping Jiang; Zehua Liu; Yanan Li; Kangli Liu; Ruying Fang; Honghu Li; Zhiguang Qu; Chaoyang Liu; Fei Li,Jing-dong Zhang; Luping Jiang; Zehua Liu; Yanan Li; Kangli Liu; Ruying Fang; Honghu Li; Zhiguang Qu; Chaoyang Liu; Fei Li,variant
10.1016/j.scs.2021.103103,pages,103103,103103-103103,103103,variant
10.1016/j.scs.2021.103103,authors,Hoda Karimipour; Vivian W Y Tam; Khoa N Le; Helen Burnie,Hoda Karimipour; Vivian W.Y. Tam; Khoa N. Le; Helen Burnie,H. Karimipour; V. Tam; K. Le; H. Burnie,variant
10.1111/ijmr.12218,year,2020,2019,2019,variant
10.1111/ijmr.12218,authors,Szilvia Mosonyi; Laura Empson; Jean‐Pascal Gond,Szilvia Mosonyi; Laura Empson; Jean‐Pascal Gond,Szilvia Mosonyi; L. Empson; Jean‐Pascal Gond,variant
10.1111/ijmr.12219,title,Developing Insights through Reviews: Reflecting on the 20th Anniversary of the<i>International Journal of Management Reviews</i>,Developing Insights through Reviews: Reflecting on the 20th Anniversary of the<i>International Journal of Management Reviews</i>,"Developing Insights through Reviews: Reflecting on the 20th Anniversary of the
 International Journal of Management Reviews",variant
10.1111/ijmr.12219,authors,Dermot Breslin; Caroline Gatrell; Katie Bailey,Dermot Breslin; Caroline Gatrell; Catherine Bailey,Dermot Breslin; Caroline Gatrell; Katie Bailey,variant
10.1111/ijmr.12220,authors,Jordi Trullen; Anna Bos‐Nehles; Mireia Valverde,Jordi Trullén; Anna Christina Bos-Nehles; Mireia Valverde,J. Trullén; A. Bos‐Nehles; M. Valverde,variant
10.1111/ijmr.12221,authors,Emma Bell; Susan Meriläinen; Scott Taylor; Janne Tienari,Emma Bell; Susan Meriläinen; Scott Taylor; Janne Tienari,E. Bell; S. Meriläinen; Scott Taylor; J. Tienari,variant
10.1111/ijmr.12222,title,Unveiling the<i>Canvas Ceiling</i>: A Multidisciplinary Literature Review of Refugee Employment and Workforce Integration,Unveiling the<i>Canvas Ceiling</i>: A Multidisciplinary Literature Review of Refugee Employment and Workforce Integration,"Unveiling the
 Canvas Ceiling
 : A Multidisciplinary Literature Review of Refugee Employment and Workforce Integration",variant
10.1111/ijmr.12222,authors,Eun Su Lee; Betina Szkudlarek; Duc Cuong Nguyen; Luciara Nardon,Eun Su Lee; Betina Szkudlarek; Duc Cuong Nguyen; Luciara Nardon,Eun Su Lee; B. Szkudlarek; D. Nguyen; L. Nardon,variant
10.1111/ijmr.12223,authors,Christian Yao; Zheng (Daniel) Duan; Yehuda Baruch,Christian Yao; Zheng Duan; Yehuda Baruch,Christian Yao; Z. Duan; Y. Baruch,variant
10.1111/ijmr.12224,authors,Ishan Jalan,Ishan Jalan,I. Jalan,variant
10.1111/ijmr.12226,authors,Dongmei Zha; T.C. Melewar; Pantea Foroudi; Zhongqi Jin,Dongmei Zha; T.C. Melewar; Pantea Foroudi; Zhongqi Jin,Dongmei Zha; T. Melewar; P. Foroudi; Zhongqi Jin,variant
10.5121/csit.2024.141004,authors,Ruiyi Zhang; Carlos Gonzalez,Ruiyi Zhang; Carlos F. Gonzalez,Ruiyi Zhang; C. González,variant
10.1101/2024.12.18.629057,authors,Venkatraman Manikandan; Suresh Neethirajan,V. M. Manikandan; Suresh Neethirajan,V. Manikandan; Suresh Neethirajan,variant
10.5121/csit.2024.150209,authors,Nir Regev; Asaf Shabtai; Lior Rokach,Nir Regev; Asaf Shabtai; Lior Rokach,Nir Regev; A. Shabtai; L. Rokach,variant
10.5121/csit.2023.130803,authors,Niklas Holtz; Jorge Marx Gomez,Niklas Holtz; Jorge Marx Gómez,Niklas Holtz; J. Gómez,variant
10.52783/tjjpt.v44.i1.2225,authors,"Tushar Agarwal, Jitender Jangid, Gaurav Kumar",Jitender Agarwal,"Tushar Agarwal, Jitender Jangid, Gaurav Kumar",variant
10.54254/2755-2721/42/20230794,title,The evolution of transformer models from unidirectional to  bidirectional in Natural Language Processing,The evolution of transformer models from unidirectional to bidirectional in Natural Language Processing,The evolution of transformer models from unidirectional to bidirectional in Natural Language Processing,variant
10.3384/ecp190012,journal,Linköping Electronic Conference Proceedings,Linköping electronic conference proceedings,Proceedings of the 11th Workshop on Natural Language Processing for Computer-Assisted Language Learning (NLP4CALL 2022),substantive
10.3384/ecp190012,authors,Nico Willms; Ulrike Padó,Nico Willms; Ulrike Padó,Nico Willms; U. Padó,variant
10.18411/trnio-05-2023-633,authors,A.M Evstropov; E.A Tarlakovskaya; I.A Sidorov,A.M Evstropov; E.A Tarlakovskaya; Igor A. Sidorov,A.M Evstropov; E. A. Tarlakovskaya; I.A Sidorov,variant
10.22214/ijraset.2025.71832,authors,Jayasudha J,J. Jayasudha,Jayasudha J,variant
10.70528/ijlrp.v4.i10.1837,journal,International Journal of Leading Research Publication,International Journal of Leading Research Publication.,International Journal of Leading Research Publication,variant
10.70528/ijlrp.v4.i10.1837,authors,Srikanth Kavuri -,Srikanth Kavuri,Srikanth Kavuri,variant
10.1101/2024.07.09.24310100,authors,Jingyuan Wu; Xiaodi Ruan; Elizabeth McNeer; Katelyn M. Rossow; Leena Choi,Jingyuan Wu; Xiaodi Ruan; Elizabeth McNeer; Katelyn M. Rossow; Leena Choi,MS Jingyuan Wu; MEd Xiaodi Ruan; MS Elizabeth McNeer; MD Katelyn M. Rossow; PhD Leena Choi,variant
10.1017/nlp.2024.61,journal,Natural Language Processing,Natural language processing.,Natural Language Processing,variant
10.1101/2024.03.21.24304616,authors,Xinyu Zhou; Lovedeep Singh Dhingra; Arya Aminorroaya; Philip Adejumo; Rohan Khera,Xinyu Zhou; Lovedeep Singh Dhingra; Arya Aminorroaya; Philip Adejumo; Rohan Khera,Xinyu Zhou; Lovedeep Singh Dhingra; Arya Aminorroaya; Philip Adejumo; R. Khera,variant
10.54254/2755-2721/20/20231084,authors,Huanzhang Chen; Yunfan Hou; Tianhao Miao; Jiayu Xue,Chen Huan-zhang; Yunfan Hou; Tianhao Miao; Jia‐Yu Xue,Huanzhang Chen; Yunfan Hou; Tianhao Miao; Jiayu Xue,variant
10.5121/ijaia.2024.15504,journal,International Journal of Artificial Intelligence &amp; Applications,International Journal of Artificial Intelligence & Applications,International Journal of Artificial Intelligence &amp; Applications,variant
10.5121/ijaia.2024.15504,authors,Harmanpreet Sidhu; Amr Abdel-Dayem,Harmanpreet Sidhu; Amr Abdel-Dayem,Harmanpreet Sidhu; A. Abdeldayem,variant
10.23889/ijpds.v10i5.3342,journal,International Journal of Population Data Science,International Journal for Population Data Science,International Journal of Population Data Science,variant
10.23889/ijpds.v10i5.3342,authors,Gregor Milligan; Elvira Perez Vallejos; Liz Dowthwaite; Aynsley Bernard; James Goulding,Gregor Milligan; Elvira Pérez Vallejos; Liz Dowthwaite; Aynsley Bernard; James Goulding,Gregor Milligan; Elvira Perez Vallejos; Liz Dowthwaite; Aynsley Bernard; James Goulding,variant
10.1017/nlp.2024.10,year,2025,2024,2024,variant
10.1017/nlp.2024.10,journal,Natural Language Processing,Natural language processing.,Natural Language Processing,variant
